,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ENSEMBL,symbol
ENSMUSG00000019773,1146.57395380663,-0.0428378364694089,0.0582202373861057,-0.735789450415951,0.461858842387458,0.714162765282358,ENSMUSG00000019773,Fbxo5
ENSMUSG00000019774,216.484329828802,-0.0699050746412557,0.127555307367862,-0.548037365780896,0.58366624621169,0.798883470617965,ENSMUSG00000019774,Mtrf1l
ENSMUSG00000019775,0,NA,NA,NA,NA,NA,ENSMUSG00000019775,Rgs17
ENSMUSG00000019777,1623.17042092697,-0.0484290346937747,0.0557184466499886,-0.869174171311624,0.3847518725,0.648917114259329,ENSMUSG00000019777,Hdac2
ENSMUSG00000019779,0.973357095805826,-1.77433318811894,1.84284809651048,-0.962821185033491,0.335637267325304,NA,ENSMUSG00000019779,Frk
ENSMUSG00000019782,386.745373922985,-0.0835680266359184,0.0955577373501424,-0.874529148065831,0.381830153722811,0.645662439589548,ENSMUSG00000019782,Rwdd1
ENSMUSG00000019785,0.0766678838874912,0,4.40735632396697,0,1,NA,ENSMUSG00000019785,Clvs2
ENSMUSG00000019787,0,NA,NA,NA,NA,NA,ENSMUSG00000019787,Trdn
ENSMUSG00000019789,0.33525304503793,0.90459324433976,3.61486197694874,0.250242817044792,0.802399575116507,NA,ENSMUSG00000019789,Hey2
ENSMUSG00000019790,3659.6233194011,-0.0449054836350112,0.0419767357245272,-1.06977073990946,0.284722515891528,0.550118113459974,ENSMUSG00000019790,Stxbp5
ENSMUSG00000019791,226.911240389489,-0.208914470014269,0.120396595732586,-1.73521907943553,0.0827020083052184,0.268280181160818,ENSMUSG00000019791,Hint3
ENSMUSG00000019792,216.015222829701,-0.117794260638226,0.13201519095043,-0.892278076410588,0.372243902257569,0.636918965919152,ENSMUSG00000019792,Trmt11
ENSMUSG00000019794,565.587644981794,-0.125276955956973,0.0785621864389661,-1.59462155568059,0.110796889322896,0.320415215166818,ENSMUSG00000019794,Katna1
