"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045453","BP","GO:0045453","bone resorption","10/465","71/23239",1.44882044132175e-06,0.000109332283303447,8.15914669586461e-05,"Il6/Tnfrsf11a/Car2/Ctsk/Cd38/Spp1/P2rx7/S1pr1/Gpr55/Fcgr4",10
"GO:0050729","BP","GO:0050729","positive regulation of inflammatory response","13/465","126/23239",1.52960840922302e-06,0.000113330077592433,8.45749032391445e-05,"Ccl24/Fcer1a/Lbp/Il6/Snca/Cd28/Il1rl1/Tnfrsf11a/Tgm2/Ptger3/Nlrp10/Tarm1/Fabp4",13
"GO:0002758","BP","GO:0002758","innate immune response-activating signal transduction","13/465","128/23239",1.8292575236367e-06,0.000133111150157492,9.93369358230531e-05,"Cd36/Lbp/Tnfaip3/Irf7/Dab2ip/Smpdl3b/Klrk1/Nlrp6/Tnip3/Tlr1/Rab7b/Tlr12/Tlr5",13
"GO:0045785","BP","GO:0045785","positive regulation of cell adhesion","24/465","399/23239",1.97918603278325e-06,0.000140126993439069,0.000104572653289111,"Cd36/Sdc4/Ada/Il6/Cd28/Spta1/Il2ra/Prkcq/Itga6/Rasgrp1/Lef1/Plpp3/Pdpn/Spp1/Itgal/Il2rg/Dpp4/Card11/Tgm2/Tnfrsf18/Shb/Mmrn1/Rag1/Kdr",24
"GO:0050867","BP","GO:0050867","positive regulation of cell activation","26/465","456/23239",2.00151343074374e-06,0.000140126993439069,0.000104572653289111,"Fcer1a/Mpl/Gata2/Lbp/Cd40/Ada/Il6/Cd28/Il1rl1/Spta1/Il2ra/Prkcq/Rasgrp1/Nfatc2/Pdpn/Cd38/Klrk1/Itgal/Il2rg/Dpp4/Card11/Cftr/Shb/Rag1/Nectin2/Capn3",26
"GO:0032103","BP","GO:0032103","positive regulation of response to external stimulus","20/465","292/23239",2.02883254304418e-06,0.000140126993439069,0.000104572653289111,"Ccl24/Fcer1a/Lbp/Arg1/Il6/Snca/Cd28/Il1rl1/Tnfrsf11a/Tgm2/Lpar1/Camk1d/Ptger3/C3ar1/Cmklr1/S1pr1/Nlrp10/Tarm1/Fabp4/Kdr",20
"GO:0002695","BP","GO:0002695","negative regulation of leukocyte activation","15/465","172/23239",2.08425928270892e-06,0.000141555942950648,0.000105639036276247,"Loxl3/Mertk/Sdc4/Tnfaip3/Arg1/Adora2a/Il2ra/Gpnmb/Bank1/Zc3h12d/Flt3/Lax1/Tarm1/Prnp/Lrrc32",15
"GO:0070371","BP","GO:0070371","ERK1 and ERK2 cascade","22/465","348/23239",2.36882379408079e-06,0.000158245196079987,0.000118093734962889,"Cd36/Ccl24/Mertk/Il6/Pdgfa/Tnfrsf11a/Atf3/Dab2ip/Rasgrp1/Pdgfc/Ephb2/Errfi1/Gpnmb/St5/Spry1/Nlrp6/Flt3/Ackr3/P2ry6/Gpr55/Kdr/Chil1",22
"GO:0007200","BP","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","11/465","94/23239",2.8373518606084e-06,0.000184016895073253,0.000137326395832516,"Gpr35/Tgm2/Lpar1/Ptger3/C3ar1/Cmklr1/S1pr1/Gpr157/Gpr55/P2ry10/Gpr174",11
"GO:0042089","BP","GO:0042089","cytokine biosynthetic process","12/465","113/23239",2.84492377659263e-06,0.000184016895073253,0.000137326395832516,"Fcer1a/Lbp/Irf7/Il6/Cd28/Prkcq/Prg3/Adam33/Tnfrsf8/Errfi1/Card11/Tlr1",12
